,Step 0,Step 1,Step 2,Step 3,Step 4
0-1,-0.08944754090987894,-0.10046189516748072,-0.09057423341890236,-0.0576019537810224,-0.0681215998894038
0-2,-0.045422342834926965,-0.05331017174735431,-0.062189482059850754,-0.04702549960380198,-0.021052127968353318
0-3,-0.3754874755128117,-0.3566951474625617,-0.2866122406663164,-0.17940688059064813,-0.10812965228081506
0-4,-0.1608844854103264,-0.09301250498601288,-0.051374139736209745,-0.055189538700132434,-0.047653701922585334
0-5,-0.06304505506795743,-0.036376653608868326,-0.015337536911619765,-0.017689567663830896,-0.01903327850774028
0-6,-0.12429200256350392,-0.09309116931747918,-0.0693130758881142,-0.06068062820923714,-0.03554677882919921
0-7,-0.028318569303385166,-0.027594225265747285,-0.02731792433799818,-0.01934556805138299,-0.012775270256270455
0-8,-0.006177943753460924,-0.003918269771191918,-0.0030119477584000798,-0.0031809780902607443,-0.0046189929428661625
1-2,-0.19035801823887843,-0.1737588786332439,-0.15191313085205915,-0.13273271967182265,-0.1072615965679764
1-3,-0.00673284273126773,-0.017393815351066322,-0.040466256649306365,-0.033886113024845343,-0.018519591071992636
1-4,-0.03189552347803537,-0.08230248624121994,-0.08249163413539984,-0.036142021343085196,-0.02246951466031155
1-5,-0.03676935445179286,-0.024818764507624547,-0.01681004668765862,-0.01694013502521674,-0.015218017119384086
1-6,-0.012124138990019295,-0.011602644637642268,-0.017505194222121823,-0.031048439833014863,-0.03208055468226845
1-7,-0.05157468543536836,-0.039007313442674385,-0.047362715989625936,-0.036209603623169606,-0.015080416089714666
1-8,-0.003751018833691444,-0.004068843381805576,-0.011754383428768556,-0.016936290611486493,-0.017813159475837725
2-3,-0.008141517823432753,-0.01481275140256555,-0.03058630560454989,-0.04769892444378887,-0.04673006015766146
2-4,-0.06441278935217998,-0.04288716267616466,-0.040759182497962954,-0.03613103123372641,-0.02295249637345309
2-5,-0.07060297559592854,-0.05934418624494053,-0.04069857697579615,-0.039281659561362536,-0.056787376886026975
2-6,-0.01776057799864106,-0.02878105551604404,-0.040262720795395945,-0.031874967245846486,-0.013290890703034686
2-7,-0.23306048652891131,-0.18322821652161903,-0.08166304721500595,-0.021151726035647522,-0.01475717507102936
2-8,-0.03364554179587931,-0.04113066262222831,-0.043735174506392305,-0.043330483692154864,-0.04894617139538737
3-4,-0.02717358462325381,-0.07871663749865554,-0.08647985802739733,-0.039402756605091405,-0.01819472935622235
3-5,-0.014046731380969235,-0.009016368416454035,-0.01064391430813072,-0.015513982030257223,-0.020094669751199223
3-6,-0.10822503485856028,-0.0868205669071822,-0.0945622953580123,-0.13710826080056449,-0.1336052732342523
3-7,-0.019983206222914385,-0.02277543013256844,-0.03319252141613993,-0.027571699287727736,-0.019306124719187467
3-8,-0.0017627688564965105,-0.0006750216167117351,-0.0029132635096245085,-0.005561798308314048,-0.00701572218920643
4-5,-0.07501571694508247,-0.07847305096419743,-0.0728400887214129,-0.060161175084576524,-0.043054479846038385
4-6,-0.04444738617335764,-0.034323847370281935,-0.04525651351635229,-0.048821749789308644,-0.04741440029479316
4-7,-0.04740317577504072,-0.05061170661569725,-0.0738400280440461,-0.10399506630384248,-0.09686190191168564
4-8,-0.0072727973826636205,-0.0073793504058373705,-0.013246116544972875,-0.00867073159451981,-0.004975924681650312
5-6,-0.041966649133575507,-0.021821954581877523,-0.006357669685892464,-0.00451690168937624,-0.008760307111141286
5-7,-0.043420052080391125,-0.015941305927430593,-0.016441757192621198,-0.04416989247171332,-0.057693953367288664
5-8,-0.07258034745960368,-0.22372673289820816,-0.3478516329219463,-0.24751487516761128,-0.10487150401084766
6-7,-0.07010498940722054,-0.07359258398700508,-0.07987074784839443,-0.06555887177013764,-0.0374563698504462
6-8,-0.0038776018500928933,-0.001891481052566979,-0.008587556052469303,-0.010316307432270522,-0.010291052798109268
7-8,-0.02408220715453191,-0.041770896606493135,-0.03492521856464714,-0.024670858889059177,-0.034664999927526585
